"id"|"arenaId"|"name"|"address"|"short"
316|316|"Sportkomplex Goethestraße"|"Goethestraße 8a, 04435 Schkeuditz"|"Schkeuditz, Sportkomplex Goethestraße"
337|337|"Sporthalle An der Kotsche"|"An der Kotsche 39, 04207 Leipzig"|"Leipzig, Sporthalle An der Kotsche"
399|399|"68. Mittelschule"|"Breitenfelder Straße 19, 04155 Leipzig"|"Leipzig, 68. Mittelschule"
68|68|"Bodelandhalle"|"Rambergweg 7, 06484 Quedlinburg"|"Quedlinburg, Bodelandhalle"
366|366|"Sporthalle Zoberberg"|"Ellerbreite 43, 06847 Dessau"|"Dessau, Sporthalle Zoberberg"
413|413|"IGS Bretzenheim"|"Hans-Böckler-Straße 2, 55128 Mainz"|"Mainz, IGS Bretzenheim"
221|221|"Bertolt-Brecht-Schule"|"Bertolt-Brecht-Str. 39, 90471 Nürnberg"|"Nürnberg, Bertolt-Brecht-Schule"
513|513|"Friedrich-Ebert-Mittelschule"|"Friedrich-Ebert-Straße 18, 86199 Augsburg"|"Augsburg, Friedrich-Ebert-Mittelschule"
212|212|"Turnhalle der JBS"|"Bodenseestraße 45, 87700 Memmingen"|"Memmingen, Turnhalle der JBS"
365|365|"Sporthalle Gabelsberger Gymnasium "|"Ebrantshauser Strasse 70, 84048 Mainburg "|"Mainburg , Sporthalle Gabelsberger Gymnasium "
54|54|"Sporthalle Mittelschule Mainburg "|"Ebrantshauser Strasse 68, 84048 Mainburg "|"Mainburg , Sporthalle Mittelschule Mainburg "
224|224|"Gesamtschule Richtsberg"|"Karlsbader Weg 3, 35039  Marburg"|"Marburg, Gesamtschule Richtsberg"
145|145|"Ennepetal"|"Wilhelmshöherstr. 12, 58256 Ennepetal"|"Ennepetal, Ennepetal"
460|460|"Ennepetal, Peddinghausstr."|"Peddinghausstraße 17, 58256 Ennepetal"|"Ennepetal, Ennepetal, Peddinghausstr."
150|150|"Sportpark Preungesheim"|"Goldpeppingstraße 8, 60435  Frankfurt"|"Frankfurt, Sportpark Preungesheim"
547|547|"Sportforum Hohenschönhausen, Ballsporthalle"|"Weißenseer Weg 53, 13053 Berlin"|"Berlin, Sportforum Hohenschönhausen, Ballsporthalle"
518|518|"Sporthalle ""Unter den Zindeln"""|"Unter den Zindeln 11, 38855 Wernigerode"|"Wernigerode, Sporthalle ""Unter den Zindeln"""
502|502|"Stuttgart"|"Köstlinstraße 76, 70499 Stuttgart"|"Stuttgart, Stuttgart"
529|529|"Gabor Halle Rosenheim"|"Ebersberger Straße 32 a, 83022 Rosenheim"|"Rosenheim, Gabor Halle Rosenheim"
517|517|"Nicht angegeben"|" ,  "|", Nicht angegeben"
545|545|"Elbe-Rossel-Halle"|"Mörikestraße 2, 06862 Dessau"|"Dessau, Elbe-Rossel-Halle"
555|555|"Sömmeringhalle"|"Sömmeringstraße 29, 10589 Berlin"|"Berlin, Sömmeringhalle"
562|562|"Riethsporthalle"|"Essener Str. 20, 99089 Erfurt"|"Erfurt, Riethsporthalle"
560|560|"Willibrordsporthalle"|"Stegerwaldstraße 29, 48565 Steinfurt"|"Steinfurt, Willibrordsporthalle"
559|559|"Willibrordsporthalle"|"Stegerwaldstraße 29, 48565 Steinfurt"|"Steinfurt, Willibrordsporthalle"
561|561|"Lilli-Henoch-Sporthalle"|"Pallasstraße 15, 10781 Berlin"|"Berlin, Lilli-Henoch-Sporthalle"
30|30|"IGS Mühlenberg"|"Ossietzkyring , 30457 Hannover"|"Hannover, IGS Mühlenberg"
544|544|"SH Gymnasium ""In der Wüste"""|"Kromschröderstraße 33, 49080 Osnabrück"|"Osnabrück, SH Gymnasium ""In der Wüste"""
542|542|"SH Camper Höhe"|"Timm-Kröger-Straße 15, 21680 Stade"|"Stade, SH Camper Höhe"
283|283|"Sporthalle Hohenwedel"|"Am Hohen Felde 40, 21682 Stade"|"Stade, Sporthalle Hohenwedel"
557|557|"Leistikow-Oberschule"|"Hartmannsweilerweg 65, 14163 Berlin"|"Berlin, Leistikow-Oberschule"
532|532|"Robert-Reinick-Grundschule"|"Jungfernheideweg 32-48, 13629 Berlin"|"Berlin, Robert-Reinick-Grundschule"
538|538|"Sporthalle an der Hertabrücke"|"Hertastraße 1b, 12051 Berlin"|"Berlin, Sporthalle an der Hertabrücke"
533|533|"Hans-Fallada-Schule"|"Harzer Str. 73-74, 12059 Berlin"|"Berlin, Hans-Fallada-Schule"
553|553|"Löwenzahn-Grundschule"|"Drorystr. 3, 12055 Berlin"|"Berlin, Löwenzahn-Grundschule"
546|546|"Helmholtzhalle"|"Rohrbacher Str. 102, 69126 Heidelberg"|"Heidelberg, Helmholtzhalle"
528|528|"Unisporthalle"|"Theodor-Heuss-Anlage 15, 68165 Mannheim"|"Mannheim, Unisporthalle"
525|525|"Pestalozzi - Halle"|"Gustav-Schwab-Straße 147, 78467 Konstanz"|"Konstanz, Pestalozzi - Halle"
519|519|"Sporthalle Julius-Leber-Schule"|"Halstenbeker Straße 41, 22457 Hamburg"|"Hamburg, Sporthalle Julius-Leber-Schule"
548|548|"Sporthalle des Berufsbildungszentrums (BBZ)"|"Bruhnstraße 25, 25704 Meldorf"|"Meldorf, Sporthalle des Berufsbildungszentrums (BBZ)"
531|531|"Sporthalle Wegenkamp"|"Wegenkamp 7, 22527 Hamburg"|"Hamburg, Sporthalle Wegenkamp"
552|552|"Rakverehalle"|"Catöhlenweg , 24211 Preetz"|"Preetz, Rakverehalle"
521|521|"Hamburg, Sporthalle Bornheide"|"Bornheide 2, 22549 Hamburg"|"Hamburg, Hamburg, Sporthalle Bornheide"
543|543|"Sporthalle Realschule"|"Schleswiger Straße 29, 25840 Friedrichstadt"|"Friedrichstadt, Sporthalle Realschule"
523|523|"Schulzentrum"|"Oher Weg  24, 21509 Glinde"|"Glinde, Schulzentrum"
527|527|"Mehrzweckhalle Gottlieb-Daimler-Oberschule"|"Daimlerstraße 6, 02625 Bautzen"|"Bautzen, Mehrzweckhalle Gottlieb-Daimler-Oberschule"
526|526|"Mehrzweckhalle Am Schützenplatz"|"Am Schützenplatz 3, 02625 Bautzen"|"Bautzen, Mehrzweckhalle Am Schützenplatz"
551|551|"Sportforum"|"Am Stadion 2, 07749 Jena"|"Jena, Sportforum"
536|536|"Sporthalle Breitenfelder Straße"|"Breitenfelder Straße 19, 04155 Leipzig"|"Leipzig, Sporthalle Breitenfelder Straße"
535|535|"Spangenberghalle"|"Alte Bergstraße 8a, 06343 Mansfeld"|"Mansfeld, Spangenberghalle"
540|540|"Weißenfels Glashaus"|" ,  Weißenfels"|"Weißenfels, Weißenfels Glashaus"
539|539|"Döbeln Nord"|"Bernhard-Kretzschmar-Weg 2, 04720 Döbeln"|"Döbeln, Döbeln Nord"
524|524|"Frankfurt, Sportpark Preungesheim"|"Goldpeppingstraße  8, 60435 Frankfurt"|"Frankfurt, Frankfurt, Sportpark Preungesheim"
537|537|"Jägerkaserne"|"Frankfurter Straße 12, 35037 Marburg"|"Marburg, Jägerkaserne"
558|558|"Sporthalle der Bettina-von-Arnim-Schule, Stadtwald"|"Dietrioch-Bonhoeffer-Straße , 35037 Marburg"|"Marburg, Sporthalle der Bettina-von-Arnim-Schule, Stadtwald"
554|554|"Mainz, Sporthalle Laubenheim"|"Gewerbestraße 25, 55130  Mainz"|" Mainz, Mainz, Sporthalle Laubenheim"
549|549|"Ederseeschule Vöhl-Herzhausen"|"Am Frankenberg 3, 34516 Vöhl"|"Vöhl, Ederseeschule Vöhl-Herzhausen"
556|556|"Stauferpark"|"Neudegger Allee 2, 86609 Donauwörth"|"Donauwörth, Stauferpark"
550|550|"Städtische Sporthalle an der Liedekerker Str."|"Liedekerker Straße 28, 48565 Steinfurt"|"Steinfurt, Städtische Sporthalle an der Liedekerker Str."
530|530|"Sporthalle Kolkrabenweg"|"Kolkrabenweg 8-10, 50829 Köln"|"Köln, Sporthalle Kolkrabenweg"
565|565|"Hein-Dahlinger-Halle"|"Geschwister-Scholl-Straße 9, 24143 Kiel"|"Kiel, Hein-Dahlinger-Halle"
572|572|"Leonardo-da-Vinci-Gesamtschule"|"Esplanade 3, 14469 Potsdam"|"Potsdam, Leonardo-da-Vinci-Gesamtschule"
569|569|"Sporthalle Schlossgymnasium"|"Greiffenklaustraße 2, 55116 Mainz"|"Mainz, Sporthalle Schlossgymnasium"
573|573|"Sporthalle Ostring"|"Moritz-Fiege-Straße 2-21, 44787 Bochum"|"Bochum, Sporthalle Ostring"
583|583|"GS An der Feldbuschwende"|"Oheriedentrift 11, 30539 Hannover"|"Hannover, GS An der Feldbuschwende"
582|582|"Willibald Gebhardt Sportzentrum Schöneberg"|"Sachsendamm 12, 10829 Berlin"|"Berlin, Willibald Gebhardt Sportzentrum Schöneberg"
589|589|"BBZ-Sporthalle"|"Bodenseestr. 41, 87700 Memmingen"|"Memmingen, BBZ-Sporthalle"
246|246|"Sporthalle Moormannskamp"|"Moormannskamp 8, 27721 Ritterhude"|"Ritterhude, Sporthalle Moormannskamp"
567|567|"Brillat-Savarin-Schule"|"Hansastr. 153, 13088 Berlin"|"Berlin, Brillat-Savarin-Schule"
588|588|"Gymnasium Seelow"|"Bertolt-Brecht-Straße 3, 15306 Seelow"|"Seelow, Gymnasium Seelow"
584|584|"Reinhold-Crocoll-Halle"|"Am Brurain 8, 76187 Karlsruhe"|"Karlsruhe, Reinhold-Crocoll-Halle"
